name,State of residence,Took office,Left office,president
George Henry Williams,Oregon,"December 14, 1871","April 25, 1875",Ulysses S. Grant
Edwards Pierrepont,New York,"April 26, 1875","May 21, 1876",Ulysses S. Grant
Alphonso Taft,Ohio,"May 22, 1876","March 4, 1877",Ulysses S. Grant
Charles Devens,Massachusetts,"March 12, 1877","March 4, 1881",Rutherford B. Hayes
Wayne MacVeagh,Pennsylvania,"March 5, 1881","December 15, 1881",James A. Garfield
Wayne MacVeagh,Pennsylvania,"March 5, 1881","December 15, 1881",Chester A. Arthur
Benjamin H. Brewster,Pennsylvania,"December 16, 1881","March 4, 1885",Chester A. Arthur
Augustus Garland,Arkansas,"March 6, 1885","March 4, 1889",Grover Cleveland
William H. H. Miller,Indiana,"March 7, 1889","March 4, 1893",Benjamin Harrison
Richard Olney,Massachusetts,"March 6, 1893","April 7, 1895",Grover Cleveland
Judson Harmon,Ohio,"April 8, 1895","March 4, 1897",Grover Cleveland
Joseph McKenna,California,"March 5, 1897","January 25, 1898",William McKinley
John W. Griggs,New Jersey,"January 25, 1898",29-Mar-01,William McKinley
Philander C. Knox,Pennsylvania,5-Apr-01,30-Jun-04,William McKinley
Philander C. Knox,Pennsylvania,5-Apr-01,30-Jun-04,Theodore Roosevelt
William Henry Moody,Massachusetts,1-Jul-04,17-Dec-06,Theodore Roosevelt
Charles Bonaparte,Maryland,17-Dec-06,4-Mar-09,Theodore Roosevelt
George W. Wickersham,New York,4-Mar-09,4-Mar-13,William Howard Taft
James C. McReynolds,Tennessee,5-Mar-13,29-Aug-14,Woodrow Wilson
Thomas Watt Gregory,Texas,29-Aug-14,4-Mar-19,Woodrow Wilson
A. Mitchell Palmer,Pennsylvania,5-Mar-19,4-Mar-21,Woodrow Wilson
Harry M. Daugherty,Ohio,4-Mar-21,6-Apr-24,Warren G. Harding
Harry M. Daugherty,Ohio,4-Mar-21,6-Apr-24,Calvin Coolidge
Harlan F. Stone,New York,7-Apr-24,1-Mar-25,Calvin Coolidge
John G. Sargent,Vermont,7-Mar-25,4-Mar-29,Calvin Coolidge
William D. Mitchell,Minnesota,4-Mar-29,4-Mar-33,Herbert Hoover
Homer Stille Cummings,Connecticut,4-Mar-33,1-Jan-39,Franklin D. Roosevelt
Frank Murphy,Michigan,2-Jan-39,18-Jan-40,Franklin D. Roosevelt
Robert H. Jackson,New York,18-Jan-40,25-Aug-41,Franklin D. Roosevelt
Francis Biddle,Pennsylvania,26-Aug-41,26-Jun-45,Franklin D. Roosevelt
Francis Biddle,Pennsylvania,26-Aug-41,26-Jun-45,Harry S. Truman
Tom C. Clark,Texas,27-Jun-45,26-Jul-49,Harry S. Truman
J. Howard McGrath,Rhode Island,27-Jul-49,3-Apr-52,Harry S. Truman
James P. McGranery,Pennsylvania,4-Apr-52,20-Jan-53,Harry S. Truman
Herbert Brownell Jr.,New York,21-Jan-53,23-Oct-57,Dwight D. Eisenhower
William P. Rogers,New York,23-Oct-57,20-Jan-61,Dwight D. Eisenhower
Robert F. Kennedy,Massachusetts,20-Jan-61,3-Sep-64,John F. Kennedy
Robert F. Kennedy,Massachusetts,20-Jan-61,3-Sep-64,Lyndon B. Johnson
Nicholas Katzenbach,Illinois,4-Sep-64,28-Jan-65,Lyndon B. Johnson
Nicholas Katzenbach,Illinois,28-Jan-65,28-Nov-66,Lyndon B. Johnson
Ramsey Clark,Texas,28-Nov-66,10-Mar-67,Lyndon B. Johnson
Ramsey Clark,Texas,10-Mar-67,20-Jan-69,Lyndon B. Johnson
John N. Mitchell,New York,20-Jan-69,15-Feb-72,Richard Nixon
Richard Kleindienst,Arizona,15-Feb-72,30-Apr-73,Richard Nixon
Elliot Richardson,Massachusetts,25-May-73,20-Oct-73,Richard Nixon
"Robert Bork
Acting",Pennsylvania,20-Oct-73,4-Jan-74,Richard Nixon
William B. Saxbe,Ohio,4-Jan-74,2-Feb-75,Richard Nixon
William B. Saxbe,Ohio,4-Jan-74,2-Feb-75,Gerald Ford
Edward H. Levi,Illinois,2-Feb-75,20-Jan-77,Gerald Ford
"Dick Thornburgh
Acting",Pennsylvania,20-Jan-77,26-Jan-77,Jimmy Carter
Griffin Bell,Georgia,26-Jan-77,16-Aug-79,Jimmy Carter
Benjamin Civiletti,Maryland,16-Aug-79,19-Jan-81,Jimmy Carter
William French Smith,California,23-Jan-81,25-Feb-85,Ronald Reagan
Edwin Meese,California,25-Feb-85,12-Aug-88,Ronald Reagan
Dick Thornburgh,Pennsylvania,12-Aug-88,15-Aug-91,Ronald Reagan
Dick Thornburgh,Pennsylvania,12-Aug-88,15-Aug-91,George H. W. Bush
William Barr,Virginia,16-Aug-91,26-Nov-91,George H. W. Bush
William Barr,Virginia,26-Nov-91,20-Jan-93,George H. W. Bush
"Stuart M. Gerson
Acting","Washington, D.C.",20-Jan-93,12-Mar-93,Bill Clinton
Janet Reno,Florida,12-Mar-93,20-Jan-01,Bill Clinton
"Eric Holder
Acting","Washington, D.C.",20-Jan-01,2-Feb-01,George W. Bush
John Ashcroft,Missouri,2-Feb-01,3-Feb-05,George W. Bush
Alberto Gonzales,Texas,3-Feb-05,17-Sep-07,George W. Bush
"Paul Clement
Acting","Washington, D.C.",17-Sep-07,18-Sep-07,George W. Bush
"Peter Keisler
Acting","Washington, D.C.",18-Sep-07,9-Nov-07,George W. Bush
Michael Mukasey,New York,9-Nov-07,20-Jan-09,George W. Bush
"Mark Filip
Acting",Illinois,20-Jan-09,3-Feb-09,Barack Obama
Eric Holder,"Washington, D.C.",3-Feb-09,27-Apr-15,Barack Obama
Loretta Lynch,New York,27-Apr-15,20-Jan-17,Barack Obama
"Sally Yates
Acting",Georgia,20-Jan-17,30-Jan-17,Donald Trump
"Dana Boente
Acting",Virginia,30-Jan-17,9-Feb-17,Donald Trump
Jeff Sessions,Alabama,9-Feb-17,7-Nov-18,Donald Trump
"Matthew Whitaker
Acting",Iowa,7-Nov-18,14-Feb-19,Donald Trump
"William Barr
2nd term",Virginia,14-Feb-19,23-Dec-20,Donald Trump
"Jeffrey A. Rosen
Acting",Massachusetts,24-Dec-20,20-Jan-21,Donald Trump
"Monty Wilkinson
Acting","Washington, D.C.",20-Jan-21,11-Mar-21,Joe Biden
Merrick Garland,Maryland,11-Mar-21,Incumbent,Joe Biden
